"Design value to translate",翻訳する設計値
"No such entity with rp_token = %value","rp_token = %value を持つそのようなエンティティはありません。"
EmailNotConfirmedException,EmailNotConfirmedException
AuthenticationException,AuthenticationException
UserLockedException,UserLocakedException
"Set as default billing",デフォルトの課金として設定
"Set address as default billing",デフォルトの請求先としてアドレスを設定する
"Are you sure you want to set the address as default billing address?",デフォルトの請求先として設定してもよろしいでしょうか？
"Set as default shipping",デフォルトの配送先として設定
"Set address as default shipping",デフォルトの配送先としてアドレスを設定する
"Are you sure you want to set the address as default shipping address?",住所をデフォルトの配送先に設定してもよろしいでしょうか？
"Delete address",住所の削除
"Are you sure you want to delete the address?",アドレスを削除してもよろしいですか？
"Additional addresses",追加のアドレス
"Patch %1 has been successfully generated.","パッチ %1 が正常に生成されました。"
"Template hints are %status","テンプレート・ヒントは %status"
"Magento was installed with a table prefix. Please re-install without prefix.",Magentoはテーブルのプレフィックスをつけてインストールしていました。プレフィックスを付けずに再インストールしてください。
"Configuration Exception Message",設定の例外メッセージ
"The ""%1.xml"" file doesn't exist.","""%1.xml"" ファイルは存在しません。"
"Currency not allowed for store %1","ストア %1 には通貨が許可されていません。"
"Please correct the target currency",対象通貨を修正してください
"Country ""id"" value should be specified","国の ""id ""の値を指定する必要があります。"
"No API Key was specified or an invalid API Key was specified.",APIキーが指定されていないか、無効なAPIキーが指定されました。
"Currency rates can't be retrieved.",通貨レートは取得できません。
